,Teacher_mae,Teacher_mse,Student_TaskOnly_mae,Student_TaskOnly_mse,Student_RDT_mae,Student_RDT_mse,Student_Follower_mae,Student_Follower_mse
mean,0.02234363928437233,0.0008711434784345329,0.026460284367203712,0.0012619607150554657,0.022971924394369125,0.0009503635228611529,0.0224013589322567,0.0008994984673336148
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
