,Teacher_mae,Teacher_mse,Student_TaskOnly_mae,Student_TaskOnly_mse,Student_RDT_mae,Student_RDT_mse,Student_Follower_mae,Student_Follower_mse
mean,3.534193754196167,23.981977462768555,3.4757802486419678,23.942136764526367,3.519353151321411,23.810686111450195,3.5167036056518555,24.735448837280273
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
